target,source,value
2 stars,Maruchan,5
2 stars,Mr. Noodles,4
3 stars,Asian Thai Foods,6
3 stars,Batchelors,4
3 stars,Golden Wheat,6
3 stars,Indomie,4
3 stars,JML,4
3 stars,KOKA,6
3 stars,Lucky Me!,9
3 stars,Maggi,4
3 stars,MAMA,6
3 stars,Mama,15
3 stars,Mamee,4
3 stars,Maruchan,23
3 stars,Mee Jang,4
3 stars,Myojo,9
3 stars,Nissin,104
3 stars,Nongshim,12
3 stars,Ottogi,14
3 stars,Paldo,11
3 stars,Samyang Foods,5
3 stars,Sapporo Ichiban,4
3 stars,Vifon,10
3 stars,Vina Acecook,12
3 stars,Wai Wai,5
3 stars,Yum Yum,4
4 stars,A-Sha Dry Noodle,14
4 stars,Acecook,5
4 stars,Annie Chun's,4
4 stars,Dragonfly,8
4 stars,Indomie,18
4 stars,JML,10
4 stars,KOKA,4
4 stars,Lucky Me!,13
4 stars,Maggi,10
4 stars,Mama,14
4 stars,Mamee,7
4 stars,Maruchan,31
4 stars,Master Kong,18
4 stars,Myojo,28
4 stars,Nissin,147
4 stars,Nongshim,43
4 stars,Ottogi,14
4 stars,Paldo,30
4 stars,Sakurai Foods,4
4 stars,Samyang,5
4 stars,Samyang Foods,39
4 stars,SuperMi,5
4 stars,Takamori Kosan,4
4 stars,Ve Wong,6
4 stars,Vifon,6
4 stars,Vina Acecook,13
4 stars,Wei Lih,4
5 stars,A-Sha Dry Noodle,6
5 stars,CarJEN,6
5 stars,Deshome,5
5 stars,Indomie,16
5 stars,JML,5
5 stars,KOKA,12
5 stars,Mama,11
5 stars,Mamee,8
5 stars,Maruchan,8
5 stars,Mom's Dry Noodle,5
5 stars,MyKuali,22
5 stars,MyOri,5
5 stars,Nissin,71
5 stars,Nongshim,19
5 stars,Paldo,15
5 stars,Prima,4
5 stars,Prima Taste,7
5 stars,Samyang Foods,9
5 stars,Sapporo Ichiban,4
5 stars,Tseng Noodles,5
5 stars,Uni-President,5
5 stars,Vit's,5
5 stars,Wei Lih,4
5 stars,Yamachan,4
A-Sha Dry Noodle,Taiwan,20
Acecook,Japan,5
Annie Chun's,United States,4
Asian Thai Foods,Nepal,6
Batchelors,UK,4
CarJEN,Malaysia,6
Deshome,Taiwan,5
Dragonfly,China,8
Golden Wheat,China,6
Indomie,Indonesia,38
JML,China,19
KOKA,Singapore,22
Lucky Me!,Philippines,22
Maggi,India,10
Maggi,Malaysia,4
Mama,Thailand,40
MAMA,Thailand,6
Mamee,Malaysia,19
Maruchan,Japan,17
Maruchan,United States,50
Master Kong,China,18
Mee Jang,Thailand,4
Mom's Dry Noodle,Taiwan,5
Mr. Noodles,Canada,4
MyKuali,Malaysia,22
Myojo,Japan,37
MyOri,Malaysia,5
Nissin,Germany,16
Nissin,Hong Kong,67
Nissin,Japan,114
Nissin,Mexico,12
Nissin,Singapore,28
Nissin,Thailand,5
Nissin,United States,80
Nongshim,South Korea,49
Nongshim,United States,25
Ottogi,South Korea,28
Paldo,South Korea,56
Prima,Singapore,4
Prima Taste,Singapore,7
Sakurai Foods,Japan,4
Samyang,South Korea,5
Samyang Foods,South Korea,53
Sapporo Ichiban,Japan,4
Sapporo Ichiban,United States,4
SuperMi,Indonesia,5
Takamori Kosan,Japan,4
Tseng Noodles,Taiwan,5
Uni-President,Taiwan,5
Ve Wong,Taiwan,6
Vifon,Vietnam,16
Vina Acecook,Vietnam,25
Vit's,Malaysia,5
Wai Wai,Thailand,5
Wei Lih,Taiwan,8
Yamachan,United States,4
Yum Yum,Thailand,4
